track_uri,track_name,artist_name,artist_uri,album,track_pop,year_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
068HSvCf5MbQfhV4qqaelg,"Haan Main Galat (From ""Love Aaj Kal"")",Pritam,1wRPtKGflJrBx9BmLsSwlU,"Haan Main Galat (From ""Love Aaj Kal"")",59,2020-01-29,0.685,0.736,0,-5.656,1,0.0521,0.0997,0.0112,0.101,0.893,117.979,audio_features,068HSvCf5MbQfhV4qqaelg,spotify:track:068HSvCf5MbQfhV4qqaelg,https://api.spotify.com/v1/tracks/068HSvCf5MbQfhV4qqaelg,https://api.spotify.com/v1/audio-analysis/068HSvCf5MbQfhV4qqaelg,218644,4,ankita
2aHz87L2Z4a0ZEQ7vMlH8z,Badal Pe Paon Hai,Salim–Sulaiman,6ohaQzKaXrobAL8paLSaxq,Chak De India,53,2007-08-01,0.649,0.788,9,-9.607,1,0.0373,0.0717,0.00232,0.0936,0.869,104.999,audio_features,2aHz87L2Z4a0ZEQ7vMlH8z,spotify:track:2aHz87L2Z4a0ZEQ7vMlH8z,https://api.spotify.com/v1/tracks/2aHz87L2Z4a0ZEQ7vMlH8z,https://api.spotify.com/v1/audio-analysis/2aHz87L2Z4a0ZEQ7vMlH8z,243931,4,ankita
0mACGvgvCcwjfJCPFLeabh,Ziddi Dil,Vishal Dadlani,6CXEwIaXYfVJ84biCxqc9k,Mary Kom,54,2018-05-27,0.666,0.833,11,-7.48,0,0.0451,0.0141,8.12e-06,0.111,0.541,99.007,audio_features,0mACGvgvCcwjfJCPFLeabh,spotify:track:0mACGvgvCcwjfJCPFLeabh,https://api.spotify.com/v1/tracks/0mACGvgvCcwjfJCPFLeabh,https://api.spotify.com/v1/audio-analysis/0mACGvgvCcwjfJCPFLeabh,286093,4,ankita
0dT6g7oqjEqphjXMk8MKHz,Dangal,Pritam,1wRPtKGflJrBx9BmLsSwlU,Dangal (Original Motion Picture Soundtrack),56,2016-12-14,0.618,0.867,6,-5.1,0,0.139,0.239,0.0,0.0559,0.665,178.017,audio_features,0dT6g7oqjEqphjXMk8MKHz,spotify:track:0dT6g7oqjEqphjXMk8MKHz,https://api.spotify.com/v1/tracks/0dT6g7oqjEqphjXMk8MKHz,https://api.spotify.com/v1/audio-analysis/0dT6g7oqjEqphjXMk8MKHz,299326,4,ankita
77UjLW8j5UAGAGVGhR5oUK,Pray For Me (with Kendrick Lamar),The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Black Panther The Album Music From And Inspired By,71,2018-02-09,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17e-05,0.111,0.188,100.584,audio_features,77UjLW8j5UAGAGVGhR5oUK,spotify:track:77UjLW8j5UAGAGVGhR5oUK,https://api.spotify.com/v1/tracks/77UjLW8j5UAGAGVGhR5oUK,https://api.spotify.com/v1/audio-analysis/77UjLW8j5UAGAGVGhR5oUK,211440,4,ankita
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,91,2020-03-20,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4,ankita
5r6l0sPvfeAPjQ67fCgOwG,RAINY NIGHT IN TALLINN,Ludwig Goransson,24eDfi2MSYo3A87hCcgpIL,Tenet (Original Motion Picture Soundtrack) [Deluxe Edition],47,2020-09-02,0.339,0.633,1,-12.328,1,0.0554,0.109,0.869,0.0935,0.0354,130.012,audio_features,5r6l0sPvfeAPjQ67fCgOwG,spotify:track:5r6l0sPvfeAPjQ67fCgOwG,https://api.spotify.com/v1/tracks/5r6l0sPvfeAPjQ67fCgOwG,https://api.spotify.com/v1/audio-analysis/5r6l0sPvfeAPjQ67fCgOwG,480946,4,ankita
7vZz8oJ5qAqB9MghufRK5k,Zinda,Shankar-Ehsaan-Loy,0L5GV6LN8SWWUWIdBbTLTZ,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),60,2013-06-14,0.603,0.708,4,-7.047,0,0.0379,0.000173,3.36e-06,0.158,0.611,105.046,audio_features,7vZz8oJ5qAqB9MghufRK5k,spotify:track:7vZz8oJ5qAqB9MghufRK5k,https://api.spotify.com/v1/tracks/7vZz8oJ5qAqB9MghufRK5k,https://api.spotify.com/v1/audio-analysis/7vZz8oJ5qAqB9MghufRK5k,211120,4,ankita
