track_uri,track_name,artist_name,artist_uri,album,track_pop,year_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
6grZ25M9c5o8T75z0tY0xq,Becoming,Volbeat,0L5fC7Ogm2YwgqVCRcF1bT,Becoming,10,2021-10-28,0.445,0.942,7,-6.558,1,0.0592,1.74e-06,0.0439,0.313,0.384,120.037,audio_features,6grZ25M9c5o8T75z0tY0xq,spotify:track:6grZ25M9c5o8T75z0tY0xq,https://api.spotify.com/v1/tracks/6grZ25M9c5o8T75z0tY0xq,https://api.spotify.com/v1/audio-analysis/6grZ25M9c5o8T75z0tY0xq,253325,4,heavy_metal
5zlUrvdz6o5tIC2bBg31iZ,Sainted by the Storm,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,Sainted by the Storm,56,2022-03-25,0.499,0.961,10,-7.15,0,0.0537,0.000231,3.71e-06,0.259,0.541,106.034,audio_features,5zlUrvdz6o5tIC2bBg31iZ,spotify:track:5zlUrvdz6o5tIC2bBg31iZ,https://api.spotify.com/v1/tracks/5zlUrvdz6o5tIC2bBg31iZ,https://api.spotify.com/v1/audio-analysis/5zlUrvdz6o5tIC2bBg31iZ,224667,4,heavy_metal
6OHdACPsqiigqRCy0VsIY6,Let Sleeping Corpses Lie,Bloody Hammers,6MC1i9hToT9dRxdN4hIHEW,Let Sleeping Corpses Lie,0,2019-06-14,0.524,0.937,11,-5.201,1,0.0607,0.000189,0.00696,0.121,0.394,116.977,audio_features,6OHdACPsqiigqRCy0VsIY6,spotify:track:6OHdACPsqiigqRCy0VsIY6,https://api.spotify.com/v1/tracks/6OHdACPsqiigqRCy0VsIY6,https://api.spotify.com/v1/audio-analysis/6OHdACPsqiigqRCy0VsIY6,316385,4,heavy_metal
5b6x7e0p8HqA4CZ4eQEoiE,Heart of the Android,Orden Ogan,3t5X2CVDf5mrlIx1SdvWYM,Heart of the Android,41,2020-12-04,0.503,0.982,7,-2.838,1,0.117,9.9e-05,0.000764,0.0685,0.076,139.99,audio_features,5b6x7e0p8HqA4CZ4eQEoiE,spotify:track:5b6x7e0p8HqA4CZ4eQEoiE,https://api.spotify.com/v1/tracks/5b6x7e0p8HqA4CZ4eQEoiE,https://api.spotify.com/v1/audio-analysis/5b6x7e0p8HqA4CZ4eQEoiE,271765,4,heavy_metal
4ngbdRQfneBbVGU4V7jjDg,Eye of the Storm,Battle Beast,7k5jeohQCF20a8foBD9ize,Eye of the Storm,7,2021-11-26,0.433,0.935,6,-6.704,0,0.0577,8.2e-06,2.32e-05,0.146,0.436,163.057,audio_features,4ngbdRQfneBbVGU4V7jjDg,spotify:track:4ngbdRQfneBbVGU4V7jjDg,https://api.spotify.com/v1/tracks/4ngbdRQfneBbVGU4V7jjDg,https://api.spotify.com/v1/audio-analysis/4ngbdRQfneBbVGU4V7jjDg,266339,4,heavy_metal
0cTHs20lsSAahzUnlG05Lg,BEST TIME,Helloween,4pQN0GB0fNEEOfQCaWotsY,HELLOWEEN,22,2021-06-16,0.375,0.925,4,-7.462,0,0.112,4.41e-05,7.02e-06,0.0863,0.307,170.11,audio_features,0cTHs20lsSAahzUnlG05Lg,spotify:track:0cTHs20lsSAahzUnlG05Lg,https://api.spotify.com/v1/tracks/0cTHs20lsSAahzUnlG05Lg,https://api.spotify.com/v1/audio-analysis/0cTHs20lsSAahzUnlG05Lg,215758,4,heavy_metal
1rdDtBy28Z5wtSIatYHot0,Zombie Apocalypse,Accept,3JDIAtVrJdQ7GFOX26LYpv,Zombie Apocalypse,0,2021-01-15,0.392,0.977,4,-6.009,0,0.101,3.78e-05,0.0776,0.119,0.207,195.984,audio_features,1rdDtBy28Z5wtSIatYHot0,spotify:track:1rdDtBy28Z5wtSIatYHot0,https://api.spotify.com/v1/tracks/1rdDtBy28Z5wtSIatYHot0,https://api.spotify.com/v1/audio-analysis/1rdDtBy28Z5wtSIatYHot0,335360,4,heavy_metal
3jpGc7gcoTyQsrlfQ332Ql,"Deceiver, Deceiver",Arch Enemy,0DCw6lHkzh9t7f8Hb4Z0Sx,"Deceiver, Deceiver",59,2021-10-21,0.185,0.983,1,-7.301,1,0.235,1.66e-05,0.191,0.197,0.102,178.864,audio_features,3jpGc7gcoTyQsrlfQ332Ql,spotify:track:3jpGc7gcoTyQsrlfQ332Ql,https://api.spotify.com/v1/tracks/3jpGc7gcoTyQsrlfQ332Ql,https://api.spotify.com/v1/audio-analysis/3jpGc7gcoTyQsrlfQ332Ql,231773,4,heavy_metal
1i0fcF53lHffHnDxM293On,Beast of Gévaudan,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,Beast of Gévaudan,45,2021-05-20,0.463,0.962,1,-5.697,0,0.0712,0.000761,0.0,0.239,0.188,109.899,audio_features,1i0fcF53lHffHnDxM293On,spotify:track:1i0fcF53lHffHnDxM293On,https://api.spotify.com/v1/tracks/1i0fcF53lHffHnDxM293On,https://api.spotify.com/v1/audio-analysis/1i0fcF53lHffHnDxM293On,211893,4,heavy_metal
30cxiM2snx2Hstvhk8Z7pv,Moonlight Rendezvous,Beast In Black,0rEuaTPLMhlViNCJrg3NEH,Moonlight Rendezvous,1,2021-09-03,0.425,0.958,4,-5.785,0,0.0515,0.000254,0.00107,0.0394,0.621,102.002,audio_features,30cxiM2snx2Hstvhk8Z7pv,spotify:track:30cxiM2snx2Hstvhk8Z7pv,https://api.spotify.com/v1/tracks/30cxiM2snx2Hstvhk8Z7pv,https://api.spotify.com/v1/audio-analysis/30cxiM2snx2Hstvhk8Z7pv,338761,4,heavy_metal
