track_uri,track_name,artist_name,artist_uri,album,track_pop,year_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
11GDQVqIEKAB4QKOcIVOvG,Zombie,Fela Kuti,5CG9X521RDFWCuAhlo6QoR,Zombie,45,1977-01-01,0.712,0.942,2,-5.115,0,0.165,0.388,0.0146,0.302,0.585,131.812,audio_features,11GDQVqIEKAB4QKOcIVOvG,spotify:track:11GDQVqIEKAB4QKOcIVOvG,https://api.spotify.com/v1/tracks/11GDQVqIEKAB4QKOcIVOvG,https://api.spotify.com/v1/audio-analysis/11GDQVqIEKAB4QKOcIVOvG,745653,4,fela
6sNNtFKdCz0bnjx7IEXyl2,Expensive Shit,Fela Kuti,5CG9X521RDFWCuAhlo6QoR,Expensive Shit,38,1975-01-01,0.614,0.876,7,-7.697,0,0.106,0.212,0.359,0.0843,0.682,122.635,audio_features,6sNNtFKdCz0bnjx7IEXyl2,spotify:track:6sNNtFKdCz0bnjx7IEXyl2,https://api.spotify.com/v1/tracks/6sNNtFKdCz0bnjx7IEXyl2,https://api.spotify.com/v1/audio-analysis/6sNNtFKdCz0bnjx7IEXyl2,793200,4,fela
7nM9ZnOD6nL04E5dOjjZiw,Let's Start (feat. Ginger Baker) - Live,Fela Kuti,5CG9X521RDFWCuAhlo6QoR,Fela With Ginger Baker Live!,37,1971-01-01,0.631,0.843,7,-8.602,0,0.111,0.176,0.113,0.906,0.743,102.327,audio_features,7nM9ZnOD6nL04E5dOjjZiw,spotify:track:7nM9ZnOD6nL04E5dOjjZiw,https://api.spotify.com/v1/tracks/7nM9ZnOD6nL04E5dOjjZiw,https://api.spotify.com/v1/audio-analysis/7nM9ZnOD6nL04E5dOjjZiw,465280,4,fela
1HC6o3lTQvNmtH3ejYG4hs,Gentleman,Fela Kuti,5CG9X521RDFWCuAhlo6QoR,Gentleman,40,1973-01-01,0.601,0.819,10,-6.975,0,0.0633,0.171,0.205,0.112,0.767,86.621,audio_features,1HC6o3lTQvNmtH3ejYG4hs,spotify:track:1HC6o3lTQvNmtH3ejYG4hs,https://api.spotify.com/v1/tracks/1HC6o3lTQvNmtH3ejYG4hs,https://api.spotify.com/v1/audio-analysis/1HC6o3lTQvNmtH3ejYG4hs,881240,4,fela
4fSGItb7Y1uOGfSoZDadhn,Trouble Sleep Yanga Wake Am,Fela Kuti,5CG9X521RDFWCuAhlo6QoR,Roforofo Fight,35,1972-01-01,0.601,0.56,3,-9.553,0,0.0317,0.0187,0.00592,0.133,0.599,142.04,audio_features,4fSGItb7Y1uOGfSoZDadhn,spotify:track:4fSGItb7Y1uOGfSoZDadhn,https://api.spotify.com/v1/tracks/4fSGItb7Y1uOGfSoZDadhn,https://api.spotify.com/v1/audio-analysis/4fSGItb7Y1uOGfSoZDadhn,726027,4,fela
3oeyAO4f9u0EO3t9tCy58K,Lady,Fela Kuti,5CG9X521RDFWCuAhlo6QoR,Shakara,31,1972-01-01,0.74,0.871,10,-7.871,0,0.0507,0.207,0.000126,0.0917,0.541,106.698,audio_features,3oeyAO4f9u0EO3t9tCy58K,spotify:track:3oeyAO4f9u0EO3t9tCy58K,https://api.spotify.com/v1/tracks/3oeyAO4f9u0EO3t9tCy58K,https://api.spotify.com/v1/audio-analysis/3oeyAO4f9u0EO3t9tCy58K,828360,4,fela
0DtokGY2f0bi701NhGFpda,Water No Get Enemy,Fela Kuti,5CG9X521RDFWCuAhlo6QoR,Expensive Shit,34,1975-01-01,0.646,0.927,10,-7.568,0,0.0535,0.134,0.0515,0.0979,0.897,90.871,audio_features,0DtokGY2f0bi701NhGFpda,spotify:track:0DtokGY2f0bi701NhGFpda,https://api.spotify.com/v1/tracks/0DtokGY2f0bi701NhGFpda,https://api.spotify.com/v1/audio-analysis/0DtokGY2f0bi701NhGFpda,660480,4,fela
