track_uri,track_name,artist_name,artist_uri,album,track_pop,year_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
7sA2SKTo1QbTSSYn5YvJC4,Sharks,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Mercury - Acts 1 & 2,63,2022-07-01,0.927,0.642,10,-4.466,0,0.0657,0.00791,3.62e-05,0.279,0.901,123.969,audio_features,7sA2SKTo1QbTSSYn5YvJC4,spotify:track:7sA2SKTo1QbTSSYn5YvJC4,https://api.spotify.com/v1/tracks/7sA2SKTo1QbTSSYn5YvJC4,https://api.spotify.com/v1/audio-analysis/7sA2SKTo1QbTSSYn5YvJC4,190883,4,rock
63WuQOXohQIxOxIFA2K7bR,SUPERMODEL,Måneskin,0lAWpj5szCSwM4rUMHYmrr,SUPERMODEL,87,2022-05-13,0.636,0.876,7,-3.413,1,0.0555,0.00164,0.0,0.117,0.799,120.983,audio_features,63WuQOXohQIxOxIFA2K7bR,spotify:track:63WuQOXohQIxOxIFA2K7bR,https://api.spotify.com/v1/tracks/63WuQOXohQIxOxIFA2K7bR,https://api.spotify.com/v1/audio-analysis/63WuQOXohQIxOxIFA2K7bR,148064,4,rock
4w5wkuwuCByenZ6QufdeQN,<maybe> it's my fault,WILLOW,3rWZHrfrsPBxVy692yAIxF,<maybe> it's my fault,68,2022-06-24,0.45,0.968,1,-4.018,1,0.0507,0.000921,2.09e-05,0.121,0.487,154.011,audio_features,4w5wkuwuCByenZ6QufdeQN,spotify:track:4w5wkuwuCByenZ6QufdeQN,https://api.spotify.com/v1/tracks/4w5wkuwuCByenZ6QufdeQN,https://api.spotify.com/v1/audio-analysis/4w5wkuwuCByenZ6QufdeQN,159833,4,rock
3GL1RQKHV0TDRq8EXHMhGq,Planet Zero,Shinedown,70BYFdaZbEKbeauJ670ysI,Planet Zero,65,2022-01-26,0.416,0.964,9,-2.967,1,0.112,2.35e-05,0.000875,0.473,0.212,157.925,audio_features,3GL1RQKHV0TDRq8EXHMhGq,spotify:track:3GL1RQKHV0TDRq8EXHMhGq,https://api.spotify.com/v1/tracks/3GL1RQKHV0TDRq8EXHMhGq,https://api.spotify.com/v1/audio-analysis/3GL1RQKHV0TDRq8EXHMhGq,222739,4,rock
5l4DU5tgUtLqFSxir6y0dp,Faded Out (feat. Within Temptation),Asking Alexandria,1caBfBEapzw8z2Qz9q0OaQ,Faded Out (feat. Within Temptation),64,2022-05-20,0.478,0.937,8,-4.775,1,0.0938,0.000151,0.0,0.198,0.526,74.966,audio_features,5l4DU5tgUtLqFSxir6y0dp,spotify:track:5l4DU5tgUtLqFSxir6y0dp,https://api.spotify.com/v1/tracks/5l4DU5tgUtLqFSxir6y0dp,https://api.spotify.com/v1/audio-analysis/5l4DU5tgUtLqFSxir6y0dp,185542,4,rock
23T4s8TZHQQvrBz6TOlJQI,Lies,Pale Waves,0wOej91SVqB1zcYkW6xUtA,Lies,58,2022-05-09,0.519,0.89,11,-2.75,0,0.0817,0.0169,0.0,0.312,0.777,170.059,audio_features,23T4s8TZHQQvrBz6TOlJQI,spotify:track:23T4s8TZHQQvrBz6TOlJQI,https://api.spotify.com/v1/tracks/23T4s8TZHQQvrBz6TOlJQI,https://api.spotify.com/v1/audio-analysis/23T4s8TZHQQvrBz6TOlJQI,170564,4,rock
23ZmKlucJRQrdR0QItAafL,Records,Weezer,3jOstUTkEu2JkjvRdBA5Gu,SZNZ: Summer,62,2022-06-21,0.658,0.773,11,-5.119,1,0.0244,0.000901,0.0,0.194,0.66,100.006,audio_features,23ZmKlucJRQrdR0QItAafL,spotify:track:23ZmKlucJRQrdR0QItAafL,https://api.spotify.com/v1/tracks/23ZmKlucJRQrdR0QItAafL,https://api.spotify.com/v1/audio-analysis/23ZmKlucJRQrdR0QItAafL,208920,4,rock
5wZK0hHduZpjWWoT0rq9p4,Something Loud,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,Something Loud,59,2022-06-10,0.375,0.899,2,-2.667,1,0.0478,0.00151,0.0,0.357,0.497,151.932,audio_features,5wZK0hHduZpjWWoT0rq9p4,spotify:track:5wZK0hHduZpjWWoT0rq9p4,https://api.spotify.com/v1/tracks/5wZK0hHduZpjWWoT0rq9p4,https://api.spotify.com/v1/audio-analysis/5wZK0hHduZpjWWoT0rq9p4,196618,4,rock
78wMThFTNKThsWq19o0F1H,Natural Born Killer,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,Natural Born Killer/Pink Lullabye,59,2022-06-22,0.202,0.742,0,-5.29,1,0.124,0.00169,0.000483,0.128,0.155,194.876,audio_features,78wMThFTNKThsWq19o0F1H,spotify:track:78wMThFTNKThsWq19o0F1H,https://api.spotify.com/v1/tracks/78wMThFTNKThsWq19o0F1H,https://api.spotify.com/v1/audio-analysis/78wMThFTNKThsWq19o0F1H,196136,3,rock
1gKLWryPONC9dyrx5fX3Dr,All Comes Crashing,Metric,1rCIEwPp5OnXW0ornlSsRl,All Comes Crashing,61,2022-04-28,0.7,0.686,7,-6.888,0,0.0343,0.00606,0.000345,0.447,0.302,111.021,audio_features,1gKLWryPONC9dyrx5fX3Dr,spotify:track:1gKLWryPONC9dyrx5fX3Dr,https://api.spotify.com/v1/tracks/1gKLWryPONC9dyrx5fX3Dr,https://api.spotify.com/v1/audio-analysis/1gKLWryPONC9dyrx5fX3Dr,263080,4,rock
04no0XXxXd3F5uLZi3qDYK,2am,Foals,6FQqZYVfTNQ1pCqfkwVFEa,2am,64,2022-02-10,0.698,0.794,0,-3.333,1,0.0483,0.000335,0.605,0.0622,0.861,135.981,audio_features,04no0XXxXd3F5uLZi3qDYK,spotify:track:04no0XXxXd3F5uLZi3qDYK,https://api.spotify.com/v1/tracks/04no0XXxXd3F5uLZi3qDYK,https://api.spotify.com/v1/audio-analysis/04no0XXxXd3F5uLZi3qDYK,224179,4,rock
3tnKdIkmqLiL9UKxxqjM8C,Broken,Palaye Royale,0hAd6zwEgt9ILuMDY1prcI,Broken,62,2022-05-20,0.492,0.718,11,-6.529,0,0.0711,0.105,0.0,0.0895,0.36,140.143,audio_features,3tnKdIkmqLiL9UKxxqjM8C,spotify:track:3tnKdIkmqLiL9UKxxqjM8C,https://api.spotify.com/v1/tracks/3tnKdIkmqLiL9UKxxqjM8C,https://api.spotify.com/v1/audio-analysis/3tnKdIkmqLiL9UKxxqjM8C,190658,4,rock
6jZp2rNTYVlKwt20aMIcot,Save Yourself,ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,Save Yourself,58,2022-06-24,0.503,0.849,5,-2.709,1,0.0615,0.00428,0.0,0.0667,0.762,165.096,audio_features,6jZp2rNTYVlKwt20aMIcot,spotify:track:6jZp2rNTYVlKwt20aMIcot,https://api.spotify.com/v1/tracks/6jZp2rNTYVlKwt20aMIcot,https://api.spotify.com/v1/audio-analysis/6jZp2rNTYVlKwt20aMIcot,197995,4,rock
6Pif6RkFoYzLygdqktus4Q,The Foundations of Decay,My Chemical Romance,7FBcuc1gsnv6Y1nwFtNRCb,The Foundations of Decay,75,2022-05-12,0.363,0.67,1,-6.652,0,0.0552,0.000582,0.548,0.317,0.198,150.15,audio_features,6Pif6RkFoYzLygdqktus4Q,spotify:track:6Pif6RkFoYzLygdqktus4Q,https://api.spotify.com/v1/tracks/6Pif6RkFoYzLygdqktus4Q,https://api.spotify.com/v1/audio-analysis/6Pif6RkFoYzLygdqktus4Q,360760,4,rock
0kYMwaQWABTkFff8AZjmYI,Hayloft II,Mother Mother,0e86yPdC41PGRkLp2Q1Bph,Inside (Deluxe),81,2022-01-28,0.326,0.866,9,-4.541,0,0.101,0.0044,7.37e-06,0.0912,0.172,178.181,audio_features,0kYMwaQWABTkFff8AZjmYI,spotify:track:0kYMwaQWABTkFff8AZjmYI,https://api.spotify.com/v1/tracks/0kYMwaQWABTkFff8AZjmYI,https://api.spotify.com/v1/audio-analysis/0kYMwaQWABTkFff8AZjmYI,215040,4,rock
72R08p6rgsH9xCYu5xcfCS,Like A Drug,BRKN LOVE,2Hkg1gn2Hpar1sVP8adtNp,Vol. 1,49,2022-06-10,0.58,0.841,5,-5.274,0,0.032,0.000318,0.0077,0.344,0.85,97.0,audio_features,72R08p6rgsH9xCYu5xcfCS,spotify:track:72R08p6rgsH9xCYu5xcfCS,https://api.spotify.com/v1/tracks/72R08p6rgsH9xCYu5xcfCS,https://api.spotify.com/v1/audio-analysis/72R08p6rgsH9xCYu5xcfCS,212621,4,rock
10jugZSxm3weVkTSSO8LFR,Roadkill,Starcrawler,0ZhtrY2Lt1s9klwm03lu8i,Roadkill,51,2022-05-09,0.468,0.959,7,-3.302,1,0.0666,0.00371,0.000249,0.139,0.527,159.948,audio_features,10jugZSxm3weVkTSSO8LFR,spotify:track:10jugZSxm3weVkTSSO8LFR,https://api.spotify.com/v1/tracks/10jugZSxm3weVkTSSO8LFR,https://api.spotify.com/v1/audio-analysis/10jugZSxm3weVkTSSO8LFR,142508,4,rock
14FW5L81Px03LnnsXnB2LG,What's the Trick?,Jack White,4FZ3j1oH43e7cukCALsCwf,Fear Of The Dawn,58,2022-04-08,0.375,0.71,0,-8.665,1,0.267,0.000867,0.00628,0.104,0.559,97.335,audio_features,14FW5L81Px03LnnsXnB2LG,spotify:track:14FW5L81Px03LnnsXnB2LG,https://api.spotify.com/v1/tracks/14FW5L81Px03LnnsXnB2LG,https://api.spotify.com/v1/audio-analysis/14FW5L81Px03LnnsXnB2LG,214843,4,rock
37EMTlg8KIQRED2lsxuNhj,Epiphany,Mammoth WVH,6WKdhhc03LqnixYI2ZzWzO,Mammoth WVH,54,2021-06-11,0.439,0.894,6,-4.973,0,0.0894,5.29e-05,0.0147,0.115,0.44,165.087,audio_features,37EMTlg8KIQRED2lsxuNhj,spotify:track:37EMTlg8KIQRED2lsxuNhj,https://api.spotify.com/v1/tracks/37EMTlg8KIQRED2lsxuNhj,https://api.spotify.com/v1/audio-analysis/37EMTlg8KIQRED2lsxuNhj,268921,4,rock
6kAOsnRUgp21bPiUoVZeuJ,Patient Number 9 (feat. Jeff Beck),Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,Patient Number 9 (feat. Jeff Beck),65,2022-06-24,0.316,0.869,7,-4.244,0,0.0642,0.000197,0.199,0.133,0.302,169.916,audio_features,6kAOsnRUgp21bPiUoVZeuJ,spotify:track:6kAOsnRUgp21bPiUoVZeuJ,https://api.spotify.com/v1/tracks/6kAOsnRUgp21bPiUoVZeuJ,https://api.spotify.com/v1/audio-analysis/6kAOsnRUgp21bPiUoVZeuJ,441402,4,rock
3OWxpc6Zguzep0XKWGxDyc,CASUALTY,MOTHICA,1JhiIIXT9DWqEU3BYFZwGA,CASUALTY,58,2022-01-28,0.513,0.916,4,-3.191,0,0.0987,0.00219,0.00113,0.338,0.474,96.095,audio_features,3OWxpc6Zguzep0XKWGxDyc,spotify:track:3OWxpc6Zguzep0XKWGxDyc,https://api.spotify.com/v1/tracks/3OWxpc6Zguzep0XKWGxDyc,https://api.spotify.com/v1/audio-analysis/3OWxpc6Zguzep0XKWGxDyc,158081,4,rock
2gF7u3yLBTy6vGrxwQBoGF,Masterpiece,Motionless In White,6MwPCCR936cYfM1dLsGVnl,Masterpiece,66,2022-04-14,0.324,0.863,10,-3.716,0,0.123,0.000109,0.0,0.311,0.394,177.985,audio_features,2gF7u3yLBTy6vGrxwQBoGF,spotify:track:2gF7u3yLBTy6vGrxwQBoGF,https://api.spotify.com/v1/tracks/2gF7u3yLBTy6vGrxwQBoGF,https://api.spotify.com/v1/audio-analysis/2gF7u3yLBTy6vGrxwQBoGF,206648,4,rock
25wdC7CJmCJPgnKw9rYquJ,maybe (feat. Bring Me The Horizon),Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,mainstream sellout,77,2022-03-25,0.601,0.92,5,-4.802,0,0.0505,0.000735,0.0,0.0998,0.537,88.014,audio_features,25wdC7CJmCJPgnKw9rYquJ,spotify:track:25wdC7CJmCJPgnKw9rYquJ,https://api.spotify.com/v1/tracks/25wdC7CJmCJPgnKw9rYquJ,https://api.spotify.com/v1/audio-analysis/25wdC7CJmCJPgnKw9rYquJ,170134,4,rock
29zvr7PRPQhE8plnBZ44nZ,FUNERAL GREY,Waterparks,3QaxveoTiMetZCMp1sftiu,FUNERAL GREY,65,2022-05-13,0.645,0.85,1,-3.627,0,0.0898,0.0202,0.0,0.656,0.961,145.971,audio_features,29zvr7PRPQhE8plnBZ44nZ,spotify:track:29zvr7PRPQhE8plnBZ44nZ,https://api.spotify.com/v1/tracks/29zvr7PRPQhE8plnBZ44nZ,https://api.spotify.com/v1/audio-analysis/29zvr7PRPQhE8plnBZ44nZ,164138,4,rock
0lRlsjGhgUDCjJzz3RjwNb,hair out,Stand Atlantic,1W2Fv4YUnjC8hx2qQd6fGh,hair out,52,2022-03-03,0.675,0.897,7,-4.684,1,0.0769,0.000487,0.0,0.133,0.549,112.963,audio_features,0lRlsjGhgUDCjJzz3RjwNb,spotify:track:0lRlsjGhgUDCjJzz3RjwNb,https://api.spotify.com/v1/tracks/0lRlsjGhgUDCjJzz3RjwNb,https://api.spotify.com/v1/audio-analysis/0lRlsjGhgUDCjJzz3RjwNb,160380,4,rock
0IPKskRI33eRXjUhNUr9b5,Loved You A Little (with Taking Back Sunday and Charlotte Sands),The Maine,4o0pNHbyj36LPvukNqEug0,Loved You A Little (with Taking Back Sunday and Charlotte Sands),66,2022-01-20,0.484,0.828,11,-5.197,1,0.0543,0.0288,0.0,0.313,0.577,195.999,audio_features,0IPKskRI33eRXjUhNUr9b5,spotify:track:0IPKskRI33eRXjUhNUr9b5,https://api.spotify.com/v1/tracks/0IPKskRI33eRXjUhNUr9b5,https://api.spotify.com/v1/audio-analysis/0IPKskRI33eRXjUhNUr9b5,207281,4,rock
0dgAZ1j5irH1FlA5WrpHW4,Wild Child,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Wild Child,67,2022-03-10,0.68,0.639,5,-6.233,0,0.0278,0.017,5.09e-06,0.0398,0.957,106.991,audio_features,0dgAZ1j5irH1FlA5WrpHW4,spotify:track:0dgAZ1j5irH1FlA5WrpHW4,https://api.spotify.com/v1/tracks/0dgAZ1j5irH1FlA5WrpHW4,https://api.spotify.com/v1/audio-analysis/0dgAZ1j5irH1FlA5WrpHW4,164867,4,rock
6jhBI8HZ1qxetz13hjL1PE,how could you do this to me? feat. Kellin Quinn from Sleeping With Sirens,Maggie Lindemann,0uGk2czvcpWQA383Im6ajf,how could you do this to me? feat. Kellin Quinn from Sleeping With Sirens,60,2022-04-29,0.501,0.853,4,-6.677,0,0.113,0.0123,1.66e-05,0.411,0.27,96.025,audio_features,6jhBI8HZ1qxetz13hjL1PE,spotify:track:6jhBI8HZ1qxetz13hjL1PE,https://api.spotify.com/v1/tracks/6jhBI8HZ1qxetz13hjL1PE,https://api.spotify.com/v1/audio-analysis/6jhBI8HZ1qxetz13hjL1PE,160000,4,rock
1nU2ooQKyk4CsYJMBdIK4J,The Funeral,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,The Funeral,68,2022-03-11,0.576,0.869,7,-4.339,1,0.0339,8.57e-05,7.1e-05,0.0573,0.746,92.538,audio_features,1nU2ooQKyk4CsYJMBdIK4J,spotify:track:1nU2ooQKyk4CsYJMBdIK4J,https://api.spotify.com/v1/tracks/1nU2ooQKyk4CsYJMBdIK4J,https://api.spotify.com/v1/audio-analysis/1nU2ooQKyk4CsYJMBdIK4J,211198,4,rock
6fyCVdU5lJT9ErO9QicFWC,These Are The Days,Inhaler,6lyMYewq2SuTFIXgiv7OxH,These Are The Days,61,2022-06-07,0.51,0.955,4,-5.64,1,0.0455,0.00935,0.000149,0.642,0.761,140.055,audio_features,6fyCVdU5lJT9ErO9QicFWC,spotify:track:6fyCVdU5lJT9ErO9QicFWC,https://api.spotify.com/v1/tracks/6fyCVdU5lJT9ErO9QicFWC,https://api.spotify.com/v1/audio-analysis/6fyCVdU5lJT9ErO9QicFWC,222297,4,rock
3EDKy3jIiw1OJqqZcdOCxm,Will Of The People,Muse,12Chz98pHFMPJEknJQMWvI,Will Of The People,68,2022-06-01,0.362,0.947,11,-3.617,0,0.239,0.00895,0.0,0.285,0.583,130.005,audio_features,3EDKy3jIiw1OJqqZcdOCxm,spotify:track:3EDKy3jIiw1OJqqZcdOCxm,https://api.spotify.com/v1/tracks/3EDKy3jIiw1OJqqZcdOCxm,https://api.spotify.com/v1/audio-analysis/3EDKy3jIiw1OJqqZcdOCxm,198850,4,rock
2XRh87n9CQoWkWW94H3Min,Viva Las Vengeance,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,Viva Las Vengeance,74,2022-06-01,0.211,0.821,9,-5.423,0,0.0732,1.25e-05,0.0329,0.104,0.371,153.742,audio_features,2XRh87n9CQoWkWW94H3Min,spotify:track:2XRh87n9CQoWkWW94H3Min,https://api.spotify.com/v1/tracks/2XRh87n9CQoWkWW94H3Min,https://api.spotify.com/v1/audio-analysis/2XRh87n9CQoWkWW94H3Min,206580,4,rock
2a5cbTg2UIi784t9E2wT35,Black Summer,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Unlimited Love,70,2022-04-01,0.417,0.682,1,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542,audio_features,2a5cbTg2UIi784t9E2wT35,spotify:track:2a5cbTg2UIi784t9E2wT35,https://api.spotify.com/v1/tracks/2a5cbTg2UIi784t9E2wT35,https://api.spotify.com/v1/audio-analysis/2a5cbTg2UIi784t9E2wT35,232412,4,rock
