track_uri,track_name,artist_name,artist_uri,album,track_pop,year_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
1Cg4LsGDv3saOFNXdeLHyq,Stockholm Summer,Cindy Bradley,5qiEZz19psMDf9UPQUao4J,The Little Things,43,2019-05-31,0.711,0.476,11,-9.448,0,0.0358,0.802,0.742,0.105,0.382,102.925,audio_features,1Cg4LsGDv3saOFNXdeLHyq,spotify:track:1Cg4LsGDv3saOFNXdeLHyq,https://api.spotify.com/v1/tracks/1Cg4LsGDv3saOFNXdeLHyq,https://api.spotify.com/v1/audio-analysis/1Cg4LsGDv3saOFNXdeLHyq,295157,4,jazz
6QIv6nsWBk84KgNbN618O8,Soulfully,Ryan Montano,60c1zWUz1UhsnemRwziySF,Soulfully,47,2020-05-25,0.696,0.844,4,-7.202,0,0.0258,0.506,0.935,0.127,0.675,105.03,audio_features,6QIv6nsWBk84KgNbN618O8,spotify:track:6QIv6nsWBk84KgNbN618O8,https://api.spotify.com/v1/tracks/6QIv6nsWBk84KgNbN618O8,https://api.spotify.com/v1/audio-analysis/6QIv6nsWBk84KgNbN618O8,250000,4,jazz
3vkk18EK3VoKePPFGUQhcH,Fired Up,Brian Simpson,4uIdP3jwyR0xifCS2FYS3o,Unified,0,2020-01-17,0.81,0.639,7,-9.925,0,0.035,0.575,0.8,0.0989,0.871,102.001,audio_features,3vkk18EK3VoKePPFGUQhcH,spotify:track:3vkk18EK3VoKePPFGUQhcH,https://api.spotify.com/v1/tracks/3vkk18EK3VoKePPFGUQhcH,https://api.spotify.com/v1/audio-analysis/3vkk18EK3VoKePPFGUQhcH,262640,4,jazz
2OCteRb2LiiMEN6XA2cqaL,Fluid,Lin Rountree,4SVXSNL59kiSLgjwZeEfDg,Fluid,47,2020-07-10,0.809,0.552,2,-8.678,0,0.041,0.161,0.859,0.127,0.628,95.016,audio_features,2OCteRb2LiiMEN6XA2cqaL,spotify:track:2OCteRb2LiiMEN6XA2cqaL,https://api.spotify.com/v1/tracks/2OCteRb2LiiMEN6XA2cqaL,https://api.spotify.com/v1/audio-analysis/2OCteRb2LiiMEN6XA2cqaL,265875,4,jazz
32eDGGkGf1lcJ8aWrjGhFO,Window of the Soul,Chuck Loeb,02L5Rmh1RtTbHOBdzPzfoQ,Presence,48,2018-05-09,0.773,0.511,4,-10.256,0,0.0731,0.453,0.903,0.0428,0.86,90.058,audio_features,32eDGGkGf1lcJ8aWrjGhFO,spotify:track:32eDGGkGf1lcJ8aWrjGhFO,https://api.spotify.com/v1/tracks/32eDGGkGf1lcJ8aWrjGhFO,https://api.spotify.com/v1/audio-analysis/32eDGGkGf1lcJ8aWrjGhFO,247333,4,jazz
61S3v0zujG9J171zdMEap7,Summer Nights,Nils,1vzmLZbXh0Bw5Kz5U4iIyB,Pacific Coast Highway,48,2005-01-25,0.637,0.818,10,-7.178,0,0.0338,0.189,0.886,0.0703,0.799,97.983,audio_features,61S3v0zujG9J171zdMEap7,spotify:track:61S3v0zujG9J171zdMEap7,https://api.spotify.com/v1/tracks/61S3v0zujG9J171zdMEap7,https://api.spotify.com/v1/audio-analysis/61S3v0zujG9J171zdMEap7,238853,4,jazz
5zicMKlbOqwkKr3iCuVJnS,Brazz Street,Rick Braun,4ThkLup6LmqCUuHuG434zZ,Crossroads,0,2019-08-16,0.762,0.552,2,-8.484,1,0.0593,0.627,0.532,0.139,0.468,100.037,audio_features,5zicMKlbOqwkKr3iCuVJnS,spotify:track:5zicMKlbOqwkKr3iCuVJnS,https://api.spotify.com/v1/tracks/5zicMKlbOqwkKr3iCuVJnS,https://api.spotify.com/v1/audio-analysis/5zicMKlbOqwkKr3iCuVJnS,282547,4,jazz
1rhgEbGtMVOARoVGssCQDr,Reasons,Michael C. Lewis,5eVoGHjBlD2E3OWOyAtPS4,Reasons,47,2016-10-17,0.442,0.712,3,-6.824,1,0.0825,0.346,0.131,0.67,0.696,147.347,audio_features,1rhgEbGtMVOARoVGssCQDr,spotify:track:1rhgEbGtMVOARoVGssCQDr,https://api.spotify.com/v1/tracks/1rhgEbGtMVOARoVGssCQDr,https://api.spotify.com/v1/audio-analysis/1rhgEbGtMVOARoVGssCQDr,269981,4,jazz
14nineYjZGD2m3cfuKFzJ6,Bliss,Cindy Bradley,5qiEZz19psMDf9UPQUao4J,Bliss,43,2014-05-05,0.617,0.594,2,-9.527,0,0.0345,0.461,0.799,0.122,0.513,91.964,audio_features,14nineYjZGD2m3cfuKFzJ6,spotify:track:14nineYjZGD2m3cfuKFzJ6,https://api.spotify.com/v1/tracks/14nineYjZGD2m3cfuKFzJ6,https://api.spotify.com/v1/audio-analysis/14nineYjZGD2m3cfuKFzJ6,314312,4,jazz
04fVzUHhEBwEHOOtWeKEUA,Low and Slow,Boney James,1sBRcMH8DDR8Nsk2RoJmjS,Honestly,35,2017-09-01,0.725,0.507,5,-11.025,0,0.0363,0.779,0.816,0.108,0.886,76.002,audio_features,04fVzUHhEBwEHOOtWeKEUA,spotify:track:04fVzUHhEBwEHOOtWeKEUA,https://api.spotify.com/v1/tracks/04fVzUHhEBwEHOOtWeKEUA,https://api.spotify.com/v1/audio-analysis/04fVzUHhEBwEHOOtWeKEUA,248627,4,jazz
