track_uri,track_name,artist_name,artist_uri,album,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
2irIMb2mjl8lgVzDC5w8Sf,Jogodo,Tekno,6IhG3Yxm3UW98jhyBvrIut,Jogodo,30,0.74,0.771,5,-4.7,1,0.122,0.379,0.0,0.0889,0.824,100.019,audio_features,2irIMb2mjl8lgVzDC5w8Sf,spotify:track:2irIMb2mjl8lgVzDC5w8Sf,https://api.spotify.com/v1/tracks/2irIMb2mjl8lgVzDC5w8Sf,https://api.spotify.com/v1/audio-analysis/2irIMb2mjl8lgVzDC5w8Sf,263027,4,afrobeats
71KyVcbBj8791MLfvHtfQR,Fais moi confiance,Sidiki Diabaté,0ShXtJGjzmboEPVOvIdbQA,"Diabateba Music, Vol. 1",48,0.675,0.668,7,-6.948,0,0.0449,0.263,0.268,0.092,0.737,98.009,audio_features,71KyVcbBj8791MLfvHtfQR,spotify:track:71KyVcbBj8791MLfvHtfQR,https://api.spotify.com/v1/tracks/71KyVcbBj8791MLfvHtfQR,https://api.spotify.com/v1/audio-analysis/71KyVcbBj8791MLfvHtfQR,275387,4,afrobeats
10v7ukORuObRLNm33J3Ku7,Kpono,Wande Coal,1fYVmAFB7sC7eDoF3mJXla,Wanted,39,0.766,0.7,6,-4.427,1,0.119,0.201,0.0,0.126,0.919,128.042,audio_features,10v7ukORuObRLNm33J3Ku7,spotify:track:10v7ukORuObRLNm33J3Ku7,https://api.spotify.com/v1/tracks/10v7ukORuObRLNm33J3Ku7,https://api.spotify.com/v1/audio-analysis/10v7ukORuObRLNm33J3Ku7,182812,4,afrobeats
7nNrIS6JuS2YEhmfmZwEuf,Dance,Timaya,7gEgjd9W1P1iAD9FbubrqC,Dance,45,0.702,0.859,0,-2.648,0,0.0697,0.0784,0.0,0.0677,0.819,95.976,audio_features,7nNrIS6JuS2YEhmfmZwEuf,spotify:track:7nNrIS6JuS2YEhmfmZwEuf,https://api.spotify.com/v1/tracks/7nNrIS6JuS2YEhmfmZwEuf,https://api.spotify.com/v1/audio-analysis/7nNrIS6JuS2YEhmfmZwEuf,203280,4,afrobeats
3ujEQWR2WQQFslkFLPfTJe,Chop Kiss,Bracket,6yd6lB5T20BZjUVkSlwojA,Chop Kiss,43,0.844,0.837,5,-3.487,0,0.0565,0.0782,7.9e-05,0.0447,0.892,106.958,audio_features,3ujEQWR2WQQFslkFLPfTJe,spotify:track:3ujEQWR2WQQFslkFLPfTJe,https://api.spotify.com/v1/tracks/3ujEQWR2WQQFslkFLPfTJe,https://api.spotify.com/v1/audio-analysis/3ujEQWR2WQQFslkFLPfTJe,220265,4,afrobeats
1PgGBtVac2DHsKEQV7wHTf,Bend Down Pause,Runtown,6mMtnxEQkYoY5FfJIQ9Rhb,"Runtown Hits, Vol. 1",2,0.904,0.958,4,-2.946,1,0.172,0.223,0.0,0.416,0.824,100.02,audio_features,1PgGBtVac2DHsKEQV7wHTf,spotify:track:1PgGBtVac2DHsKEQV7wHTf,https://api.spotify.com/v1/tracks/1PgGBtVac2DHsKEQV7wHTf,https://api.spotify.com/v1/audio-analysis/1PgGBtVac2DHsKEQV7wHTf,197329,4,afrobeats
38rALFdk7w7olttXqJa5ar,Anyhow,Tekno,6IhG3Yxm3UW98jhyBvrIut,Anyhow,22,0.899,0.797,7,-3.151,1,0.0797,0.166,0.0675,0.0585,0.788,119.996,audio_features,38rALFdk7w7olttXqJa5ar,spotify:track:38rALFdk7w7olttXqJa5ar,https://api.spotify.com/v1/tracks/38rALFdk7w7olttXqJa5ar,https://api.spotify.com/v1/audio-analysis/38rALFdk7w7olttXqJa5ar,226038,4,afrobeats
2hKLu5akQZ9BbrCQVXM2cZ,Daddy Yo,WizKid,3tVQdUvClmAT7URs9V3rsp,Sounds From The Other Side,52,0.819,0.839,6,-3.663,0,0.0682,0.234,1.74e-05,0.137,0.81,98.968,audio_features,2hKLu5akQZ9BbrCQVXM2cZ,spotify:track:2hKLu5akQZ9BbrCQVXM2cZ,https://api.spotify.com/v1/tracks/2hKLu5akQZ9BbrCQVXM2cZ,https://api.spotify.com/v1/audio-analysis/2hKLu5akQZ9BbrCQVXM2cZ,160293,4,afrobeats
2Ubf6CBCaiY9U6x7tnkQ4N,Koffi Anan - Freestyle,Yemi Alade,7fKO99ryLDo8VocdtVvwZW,Mama Africa (The Diary of an African Woman),19,0.937,0.872,4,-1.43,0,0.133,0.265,0.000466,0.164,0.826,112.983,audio_features,2Ubf6CBCaiY9U6x7tnkQ4N,spotify:track:2Ubf6CBCaiY9U6x7tnkQ4N,https://api.spotify.com/v1/tracks/2Ubf6CBCaiY9U6x7tnkQ4N,https://api.spotify.com/v1/audio-analysis/2Ubf6CBCaiY9U6x7tnkQ4N,205009,4,afrobeats
02F5MXfL4V0UCVA1VTZjYR,Baby Hello,Wande Coal,1fYVmAFB7sC7eDoF3mJXla,Wanted,43,0.81,0.922,11,-2.747,0,0.0759,0.124,0.0,0.0879,0.946,132.005,audio_features,02F5MXfL4V0UCVA1VTZjYR,spotify:track:02F5MXfL4V0UCVA1VTZjYR,https://api.spotify.com/v1/tracks/02F5MXfL4V0UCVA1VTZjYR,https://api.spotify.com/v1/audio-analysis/02F5MXfL4V0UCVA1VTZjYR,209000,4,afrobeats
